Country,Impact,Source,BEEF,PORK,EGGS,POUM,ANIMP,DAIR,SGMP,SWHE,SOYA,PULS,OFRU,MAIZ,RICE
FR000000,GHG emissions,CH4MA2,0.560034256,0.70697818,0.039351648,0.045960244,0.121076235,0.041545171,0.162057395,,,,,,
FR000000,GHG emissions,CH4BUL,0.00974069,0.003431937,0.000371215,0.002599597,0.001370781,0.000454429,0.007673879,,,,,,
FR000000,GHG emissions,CO2PRL,0.377065601,0.121584025,0.079042861,0.133312188,0.056657181,0.018311932,0.242248844,,,,,,
FR000000,GHG emissions,CO2FTR,0.442434651,0.244040496,0.08226112,0.184592214,0.077227971,0.023944598,0.276109899,,,,,,
FR000000,GHG emissions,CO2FPR,0.141929006,0.049815728,0.073775291,0.350018933,0.040682897,0.005397964,0.094974824,,,,,,
FR000000,GHG emissions,CO2SEL,0.073223362,0.026696243,0.016090374,0.026675265,0.012715436,0.00541117,0.043326254,,,,,,
FR000000,GHG emissions,CO2PPL,0.034954131,0.010349551,0.00664487,0.010807748,0.005305974,0.002006074,0.023109461,,,,,,
FR000000,GHG emissions,CO2BIL,2.056765972,0.740903327,0.077805714,0.542693537,0.291067687,0.097052205,1.618441089,,,,,,
FR000000,GHG emissions,CO2SOL,1.616182667,0.591443106,0.071902594,0.438984727,0.231065353,0.0769829,1.268256063,,,,,,
FR000000,GHG emissions,CO2SQL,1.160442784,1.400596995,0.78818268,1.403270955,0.40779926,0.1584731,0.692232677,,,,,,
FR000000,GHG emissions,CO2HIL,1.10042906,0.137266735,0.046369996,0.113268628,0.113871604,0.037437375,0.702060012,,,,,,
FR000000,GHG emissions,CO2DIC,0.704234443,0.170818849,0.104347108,0.177988247,0.097247318,0.035749426,0.499303485,,,,,,
FR000000,GHG emissions,CO2OFC,0.045296081,0.084817181,0.076316969,0.090576089,0.022549813,0.007221309,0.010341353,,,,,,
FR000000,GHG emissions,CO2ELC,0.047895283,0.087430293,0.078531791,0.093274319,0.023349777,0.007501383,0.011042151,,,,,,
FR000000,GHG emissions,CO2INC,0.397924708,0.092699657,0.056744653,0.090856652,0.055573892,0.022581366,0.222791644,,,,,,
FR000000,GHG emissions,CO2OFA,,0.711924597,,,0.052354152,,,,,,,,
FR000000,GHG emissions,CO2ELA,0.30710045,0.062076976,0.044773574,0.067796849,0.062646391,0.044183578,0.162012757,,,,,,
FR000000,GHG emissions,CO2INA,1.60342376,0.344616631,0.179182621,0.345792529,0.207037731,0.075110229,0.969939039,,,,,,
IR000000,GHG emissions,N2OMA2,0.529575353,0.232599372,0.120961745,0.126022523,0.082714989,0.02528051,0.208857598,,,,,,
