Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vit. B12 (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Vitamin D2(µg),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Vitamin D3,ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Vit. D (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
ALA 18:3 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
EPA 20:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
DPA 22:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
DHA 22:6 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Vit. A (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,liver,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_liver_Future foods
Water,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,61.75,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Protein (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,63.28358209,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Chitin corrected protein,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Chitin,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Ca (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
I (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Fe (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Zn (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Vit. B12 (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Vitamin D2(µg),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Vitamin D3,ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Vit. D (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
ALA 18:3 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
EPA 20:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
DPA 22:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
DHA 22:6 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Vit. A (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Kitchen Waste,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Kitchen Waste_Future foods
Water,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,71.8,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Protein (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,38.50746269,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Chitin corrected protein,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Chitin,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Ca (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
I (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Fe (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Zn (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Vit. B12 (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Vitamin D2(µg),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Vitamin D3,ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Vit. D (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
ALA 18:3 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
EPA 20:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
DPA 22:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
DHA 22:6 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Vit. A (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fruits and Vegetables,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fruits and Vegetables_Future foods
Water,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,53.4,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Protein (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,57.91044776,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Chitin corrected protein,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Chitin,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Ca (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
I (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Fe (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Zn (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Vit. B12 (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Vitamin D2(µg),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Vitamin D3,ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Vit. D (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
ALA 18:3 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
EPA 20:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
DPA 22:5 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
DHA 22:6 n-3 (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Vit. A (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,Fish,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_Fish_Future foods
Water,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,63.4,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Protein (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,40,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Chitin corrected protein,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Chitin,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Ca (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,840,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
I (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,0,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Fe (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,21,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Zn (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,6.8,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Vit. B12 (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Vitamin D2(µg),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Vitamin D3,ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Vit. D (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
ALA 18:3 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,0.038251366,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
EPA 20:5 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,0,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
DPA 22:5 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
DHA 22:6 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,0,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Vit. A (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat_Future foods
Water,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,64.4,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Protein (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,37.9,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Chitin corrected protein,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Chitin,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Ca (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,1200,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
I (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,1700,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Fe (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,31,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Zn (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,8.4,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Vit. B12 (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Vitamin D2(µg),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Vitamin D3,ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Vit. D (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
ALA 18:3 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,0.039325843,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
EPA 20:5 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,0.002808989,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
DPA 22:5 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
DHA 22:6 n-3 (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,0,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Vit. A (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 10%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 10%seaweed_Future foods
Water,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,69.3,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
Protein (g),g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,33.7,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
Chitin corrected protein,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
Chitin,g/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,NA,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
Ca (mg),mg/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,2000,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
I (ug),ug/100g,Liland et al 2017,Black soldier fly,Dry weight,Wheat + 50%seaweed,Future foods,9450,Liland et al 2017_Black soldier fly_Dry weight_Wheat + 50%seaweed_Future foods
